Date,Product,Quantity,Price,Customer_ID,Region,Total_Sales,Month,Profit
2024-01-01,Phone,9,37697,CUST001,East,339273,1,67854.6
2024-01-02,Headphones,5,16144,CUST002,North,80720,1,16144.0
2024-01-03,Phone,3,21652,CUST003,West,64956,1,12991.2
2024-01-04,Headphones,1,30739,CUST004,East,30739,1,6147.8
2024-01-05,Laptop,8,39705,CUST005,North,317640,1,63528.0
2024-01-06,Laptop,8,40726,CUST006,South,325808,1,65161.600000000006
2024-01-07,Laptop,9,40180,CUST007,South,361620,1,72324.0
2024-01-08,Laptop,8,7434,CUST008,West,59472,1,11894.400000000001
2024-01-09,Tablet,3,33698,CUST009,North,101094,1,20218.800000000003
2024-01-10,Laptop,6,44457,CUST010,West,266742,1,53348.4
2024-01-11,Monitor,9,6935,CUST011,West,62415,1,12483.0
2024-01-12,Phone,0,14186,CUST012,West,0,1,0.0
2024-01-13,Phone,10,20202,CUST013,East,202020,1,40404.0
2024-01-14,Headphones,2,3902,CUST014,East,7804,1,1560.8000000000002
2024-01-15,Headphones,0,34541,CUST015,West,0,1,0.0
2024-01-16,Phone,8,41411,CUST016,South,331288,1,66257.6
2024-01-17,Phone,6,13366,CUST017,South,80196,1,16039.2
2024-01-18,Tablet,3,19314,CUST018,North,57942,1,11588.400000000001
2024-01-19,Tablet,1,43571,CUST019,West,43571,1,8714.2
2024-01-20,Laptop,9,42689,CUST020,North,384201,1,76840.2
2024-01-21,Laptop,3,35579,CUST021,East,106737,1,21347.4
2024-01-22,Tablet,1,7694,CUST022,West,7694,1,1538.8000000000002
2024-01-23,Laptop,11,29702,CUST023,North,326722,1,65344.4
2024-01-24,Headphones,3,17767,CUST024,West,53301,1,10660.2
2024-01-25,Monitor,1,8949,CUST025,West,8949,1,1789.8000000000002
2024-01-26,Laptop,5,25847,CUST026,North,129235,1,25847.0
2024-01-27,Tablet,1,39192,CUST027,North,39192,1,7838.400000000001
2024-01-28,Tablet,6,43591,CUST028,North,261546,1,52309.200000000004
2024-01-29,Headphones,-1,44504,CUST029,North,-44504,1,-8900.800000000001
2024-01-30,Tablet,11,11011,CUST030,North,121121,1,24224.2
2024-01-31,Tablet,5,35259,CUST031,East,176295,1,35259.0
2024-02-01,Phone,6,16296,CUST032,South,97776,2,19555.2
2024-02-02,Tablet,2,21690,CUST033,South,43380,2,8676.0
2024-02-03,Tablet,2,48451,CUST034,East,96902,2,19380.4
2024-02-04,Tablet,8,4862,CUST035,South,38896,2,7779.200000000001
2024-02-05,Tablet,2,45330,CUST036,East,90660,2,18132.0
2024-02-06,Phone,6,39483,CUST037,North,236898,2,47379.600000000006
2024-02-07,Monitor,8,19238,CUST038,East,153904,2,30780.800000000003
2024-02-08,Monitor,-1,40839,CUST039,South,-40839,2,-8167.8
2024-02-09,Phone,2,10953,CUST040,South,21906,2,4381.2
2024-02-10,Monitor,2,19805,CUST041,West,39610,2,7922.0
2024-02-11,Phone,-1,18746,CUST042,West,-18746,2,-3749.2000000000003
2024-02-12,Tablet,7,43769,CUST043,West,306383,2,61276.600000000006
2024-02-13,Monitor,4,44247,CUST044,West,176988,2,35397.6
2024-02-14,Phone,1,39833,CUST045,East,39833,2,7966.6
2024-02-15,Tablet,1,11955,CUST046,West,11955,2,2391.0
2024-02-16,Phone,5,30327,CUST047,North,151635,2,30327.0
2024-02-17,Monitor,3,7123,CUST048,West,21369,2,4273.8
